"","fips","county_name","state_name","type","relative_mobility","absolute_upward_mobility","top1pc_share","gini","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","foreign_share2010","med_hhinc1990","poor_share2000","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","nonwhite_share2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","stay_cz","leave_cz"
"772",18155,"Switzerland","Indiana","rural",0.267,42.5,0.046,0.285,66148.633,35.929062,0.074420825,0.010862479,25114.0573824555,0.13780585,0.0026141098,0.98258507,0.00852641,0.0012697782,3.1976893,673.57764,0.27580389,0.22049354,0.59914768,83.062218,-0.01075237,0.027796092,41.08633,-0.02045889,20.481977,0.6563,0.3437
"773",18157,"Tippecanoe","Indiana","metro",0.338,42.4,0.086,0.348,74847.867,18.564629,0.37200996,0.1016921,29491.8603690819,0.16035986,0.026941234,0.87168968,0.049658887,0.035814561,4.4776821,810.46655,0.24739543,0.46070528,0.64561343,79.866646,0.032128505,0.19634795,298.02444,0.013661216,167.41429,0.5349,0.4651
"774",18159,"Tipton","Indiana","rural",0.342,44.1,0.124,0.317,80880,23.910307,0.12474734,0.012646905,31613.9244477912,0.051755086,0.0021703646,0.97652054,0.01212866,0.002911129,4.328239,701.8172,0.19563392,0.35378838,0.63909513,84.607231,0.20400174,0.036458328,63.625301,-0.0044211461,28.490717,0.5439,0.4561
"775",18161,"Union","Indiana","metro",0.264,44,0.051,0.226,66899.234,24.427572,0.11071625,0.01151703,24649.3476822147,0.097234197,0.003023494,0.98470521,0.0030100811,0.0016406431,4.4853444,672.8313,0.19879264,0.3015891,0.63268763,82.308884,-0.11829714,0.031399693,45.582542,-0.0093458025,20.25753,0.6028,0.3972
"776",18163,"Vanderburgh","Indiana","metro",0.435,39.2,0.188,0.504,74001.766,20.210669,0.20277175,0.024669457,30083.1363512598,0.10633297,0.079099715,0.89499879,0.0097309491,0.0074996799,3.5407879,774.80804,0.30971009,0.3649798,0.63128251,82.433678,0.047427878,0.14815,736.36462,-0.0021150953,361.55203,0.7098,0.2902
"777",18165,"Vermillion","Indiana","metro",0.34,42.7,0.058,0.332,64875.285,23.863146,0.11178113,0.0039678072,22644.1229336294,0.095228791,0.0035807507,0.98005676,0.0063881385,0.0011244849,3.7897747,587.09387,0.23739663,0.31884795,0.57399017,82.380516,0.1353513,0.021588938,65.353729,-0.015619209,25.447779,0.645,0.355
"778",18167,"Vigo","Indiana","metro",0.383,40.4,0.116,0.443,63579.18,19.975893,0.21463363,0.028058922,28535.5607120976,0.14179747,0.064442784,0.89991885,0.012368414,0.011248042,3.7177548,754.05371,0.31959611,0.41363153,0.56914014,83.093964,0.13266286,0.13257548,262.44824,-0.0045776432,111.27669,0.6381,0.3619
"779",18169,"Wabash","Indiana","micro",0.371,41.2,0.066,0.274,68221.078,20.053495,0.14040208,0.011677627,27180.7391764415,0.069468446,0.0052514663,0.96698284,0.011825379,0.0026567751,3.8390694,648.12665,0.23444673,0.4857887,0.62649047,85.029686,NA,0.046187058,84.765076,-0.015059357,34.614021,0.5458,0.4542
"780",18171,"Warren","Indiana","rural",NA,NA,NA,NA,69613.656,26.896574,0.14011236,0.018164052,25310.7581100141,0.065379106,0.0014299523,0.98799843,0.0043996386,0.0014351881,3.7933397,695.08112,0.19371596,0.340242,0.65324664,85.006134,0.067060441,0.021979321,23.085867,-0.016556699,10.38439,0.6447,0.3553
"781",18173,"Warrick","Indiana","metro",0.345,44.6,0.115,0.344,88557.391,24.612545,0.23086217,0.026549857,37173.913288276,0.049977131,0.012039263,0.96838909,0.0067352131,0.0060536494,4.5136275,808.35443,0.17421064,0.26965281,0.67470807,86.122078,0.066967152,0.060212098,136.1248,0.0011142824,74.783791,0.6643,0.3357
